,0
0,22.521652
1,23.745308
2,22.638073
3,23.79724
4,23.849358
5,23.87138
6,24.546984
7,24.498514
8,23.812027
9,19.294712
10,17.057468
11,16.478365
12,15.395708
13,14.736595
14,14.009706
15,14.177578
16,13.656861
17,12.961394
18,13.249409
19,13.595689
20,16.981964
21,19.766739
22,22.424282
23,24.285463
24,25.412899
25,27.997183
26,28.09704
27,29.516798
28,29.549515
29,29.632772
30,30.087215
31,29.54791
32,25.615196
33,23.911144
34,23.5518
35,23.432005
36,21.330286
37,22.32371
38,21.798761
39,21.246965
40,20.504189
41,19.927788
42,19.408907
43,19.907228
44,19.932743
45,22.129852
46,23.606258
47,26.545721
48,29.320827
49,29.385464
50,29.8729
51,29.969482
52,30.212421
53,29.526371
54,30.137524
55,29.646944
56,25.342323
57,23.669712
58,21.105745
59,22.114407
60,20.548594
61,18.748598
62,18.670979
63,18.71127
64,17.548351
65,17.01553
66,17.75748
67,18.190075
68,18.808187
69,18.837133
70,19.939013
71,18.978949
72,21.11751
73,24.21136
74,26.538174
75,27.40979
76,28.026384
77,29.491226
78,29.396713
79,28.511448
80,25.553635
81,21.55483
82,18.878418
83,18.881857
84,18.337967
85,16.995853
86,16.439438
87,16.23179
88,15.389201
89,15.362014
90,14.903559
91,14.595822
92,18.203928
93,22.373241
94,25.454643
95,27.862543
96,29.703196
97,30.338062
98,32.657417
99,33.76628
100,33.86139
101,35.12718
102,34.629623
103,33.574642
104,30.479649
105,24.784119
106,23.581602
107,22.402092
108,22.475142
109,19.460238
110,20.563034
111,19.951706
112,19.974157
113,18.727797
114,17.996622
115,18.24147
116,19.998268
117,23.562292
118,26.63724
119,29.518309
120,31.34232
121,33.661148
122,34.85427
123,35.341434
124,35.734364
125,36.990044
126,35.831184
127,35.39602
128,32.682964
129,26.107946
130,24.289888
131,23.115911
132,22.124577
133,21.189583
134,20.565813
135,20.159185
136,19.359425
137,18.888248
138,19.09815
139,18.367489
140,22.26401
141,25.089355
142,30.561752
143,32.8634
